Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
3_R2	(1.0, 50.072478404945244)	(2.0, 13.543996167746633)	(3.0, 5.620950563661639)	(4.0, 3.063181469040898)	(5.0, 2.0452988765042566)	(6.0, 1.4179661634964753)	(7.0, 1.0834726843284994)	(8.0, 0.9195359330522552)	(9.0, 0.6653490160632791)	('>10', 7.031884954950936)	('>50', 1.6133993028783749)	('>100', 2.520819479142593)	('>500', 0.7872317771090631)	('>1k', 2.3233429172520266)	('>5k', 1.2417558510219524)	('>10k+', 6.049336438805824)
3_R2_001	(1.0, 47.9506488332956)	(2.0, 12.595475998232853)	(3.0, 5.352086331682422)	(4.0, 3.039607768712756)	(5.0, 2.062247173347289)	(6.0, 1.5039949306680909)	(7.0, 1.1866316792552085)	(8.0, 0.9629610912910945)	(9.0, 0.7877221048419956)	('>10', 7.545546004046091)	('>50', 1.85297998779063)	('>100', 2.971412337388247)	('>500', 0.8618379158718038)	('>1k', 2.463418808595485)	('>5k', 1.5925042175117206)	('>10k+', 7.270924817468824)
4_R1	(1.0, 55.899670650700585)	(2.0, 13.006071306991101)	(3.0, 4.987168716040624)	(4.0, 2.6392030320846893)	(5.0, 1.7294040609287167)	(6.0, 1.2533148414332975)	(7.0, 0.9734983035591785)	(8.0, 0.6938571800238106)	(9.0, 0.6312952101872884)	('>10', 5.948573220047551)	('>50', 1.5139906773434555)	('>100', 2.2155096532792755)	('>500', 0.6738474681483596)	('>1k', 2.2042479650945257)	('>5k', 0.9463301207979959)	('>10k+', 4.684017593339454)
4_R1_001	(1.0, 53.13850543298556)	(2.0, 12.327588641239732)	(3.0, 5.016391166278754)	(4.0, 2.804794222889399)	(5.0, 1.858147280326311)	(6.0, 1.364070928348492)	(7.0, 1.0150114569963409)	(8.0, 0.8426123435365931)	(9.0, 0.6486610046029199)	('>10', 6.613260292887054)	('>50', 1.7103436335765116)	('>100', 2.698347122996013)	('>500', 0.7788059770804747)	('>1k', 2.315809501915414)	('>5k', 1.4320706695823022)	('>10k+', 5.43558032475826)
4_R2	(1.0, 55.15970803255329)	(2.0, 13.08634790042904)	(3.0, 5.077444445152925)	(4.0, 2.7355908777268043)	(5.0, 1.7343578539078968)	(6.0, 1.223759535570798)	(7.0, 1.0190158778720535)	(8.0, 0.7461312164665531)	(9.0, 0.5856169976813838)	('>10', 6.0338978262809935)	('>50', 1.5026176298994343)	('>100', 2.233048053538731)	('>500', 0.7043638239005297)	('>1k', 2.2387376004860826)	('>5k', 0.8842689384238199)	('>10k+', 5.035093390109527)
4_R2_001	(1.0, 52.47891613882432)	(2.0, 12.382832430997382)	(3.0, 5.0017427274787325)	(4.0, 2.8441587633696805)	(5.0, 1.876165415617639)	(6.0, 1.3481470805327944)	(7.0, 1.096568960502682)	(8.0, 0.8358364238539054)	(9.0, 0.6678848784340002)	('>10', 6.760594742745296)	('>50', 1.7196855166946665)	('>100', 2.705385924429575)	('>500', 0.7501681875903029)	('>1k', 2.2901450432135846)	('>5k', 1.4875987410374953)	('>10k+', 5.754169024677873)
5_R1	(1.0, 48.94962903499216)	(2.0, 12.602802179873052)	(3.0, 5.289182257480513)	(4.0, 2.946579549285415)	(5.0, 1.8533353220986677)	(6.0, 1.370337546940564)	(7.0, 1.1075832517830717)	(8.0, 0.849238245456013)	(9.0, 0.7109007813487268)	('>10', 7.282510155488699)	('>50', 1.9342648188343743)	('>100', 2.9879225539330747)	('>500', 0.8923795236831296)	('>1k', 2.8060218451366397)	('>5k', 1.4735828973800622)	('>10k+', 6.943730036285883)
5_R1_001	(1.0, 45.546406073699536)	(2.0, 11.795869150304048)	(3.0, 5.055288150464477)	(4.0, 3.0552989356534006)	(5.0, 2.101286708262403)	(6.0, 1.421523694705133)	(7.0, 1.1516409730201314)	(8.0, 1.0104629213628782)	(9.0, 0.7618194386182107)	('>10', 8.228558153610312)	('>50', 2.2417777051327263)	('>100', 3.65573134678321)	('>500', 1.0117173027046282)	('>1k', 2.8663324826640713)	('>5k', 1.8732492883364906)	('>10k+', 8.223037674678336)
5_R2	(1.0, 48.26064187463381)	(2.0, 12.842273432469456)	(3.0, 5.22320313666451)	(4.0, 2.992616666210823)	(5.0, 1.9242578939544916)	(6.0, 1.4088372031923877)	(7.0, 1.1290520588095434)	(8.0, 0.8211354879217734)	(9.0, 0.7245971543880694)	('>10', 7.3631281312471515)	('>50', 1.8834837213437423)	('>100', 2.9553689388324154)	('>500', 0.8566162870230718)	('>1k', 2.7644782169193753)	('>5k', 1.4227599449650348)	('>10k+', 7.427549851424301)
5_R2_001	(1.0, 44.94337454511493)	(2.0, 11.896262875460838)	(3.0, 5.070896858017633)	(4.0, 3.1247892856315644)	(5.0, 2.088767117207163)	(6.0, 1.529394793493907)	(7.0, 1.1967144846095699)	(8.0, 0.9833925954274202)	(9.0, 0.7708737482241277)	('>10', 8.259150157427909)	('>50', 2.259176822219036)	('>100', 3.5462818730615373)	('>500', 1.0248974225146128)	('>1k', 2.882545012112824)	('>5k', 1.7932394520447232)	('>10k+', 8.630242957432293)
6_R1	(1.0, 50.65771826833064)	(2.0, 12.74426209855973)	(3.0, 5.14417591247594)	(4.0, 3.0168233998501783)	(5.0, 1.9494898972154444)	(6.0, 1.4267473458127709)	(7.0, 1.10158058636305)	(8.0, 0.9387540383510726)	(9.0, 0.7242538386319634)	('>10', 7.516776367653525)	('>50', 2.0147160771769204)	('>100', 2.9874436711844075)	('>500', 0.8661827999581027)	('>1k', 2.581006509993732)	('>5k', 1.0511949033880452)	('>10k+', 5.2788742850544255)
6_R1_001	(1.0, 47.86141435471375)	(2.0, 12.213965193811159)	(3.0, 5.016634060928409)	(4.0, 2.9985711850253467)	(5.0, 2.0263305734024444)	(6.0, 1.488663325668495)	(7.0, 1.1972564625810984)	(8.0, 0.9471804822051384)	(9.0, 0.7990674584510961)	('>10', 8.227207078346177)	('>50', 2.270812146738396)	('>100', 3.5420655565035855)	('>500', 0.9394083537012728)	('>1k', 2.6335564427560354)	('>5k', 1.7194647393446443)	('>10k+', 6.118402585823173)
6_R2	(1.0, 49.65900483351393)	(2.0, 13.1155192406864)	(3.0, 5.397231649784354)	(4.0, 3.0202544170317274)	(5.0, 1.9868458729349627)	(6.0, 1.4011956493342794)	(7.0, 1.0827090435696933)	(8.0, 0.9016470648024678)	(9.0, 0.769986344326112)	('>10', 7.478157752701932)	('>50', 2.0746929765757036)	('>100', 3.0254245954796)	('>500', 0.8204063091301114)	('>1k', 2.494382272027005)	('>5k', 1.1241035694378743)	('>10k+', 5.64843840866387)
6_R2_001	(1.0, 47.09069933837054)	(2.0, 12.214243335303827)	(3.0, 5.256316472053025)	(4.0, 2.9906635762516487)	(5.0, 2.041729500900428)	(6.0, 1.5291725950526867)	(7.0, 1.1959098490029982)	(8.0, 0.9451025670494622)	(9.0, 0.8462361887683002)	('>10', 8.301893048850499)	('>50', 2.2810520757631547)	('>100', 3.568302906402565)	('>500', 0.8866715766792213)	('>1k', 2.6248323442686448)	('>5k', 1.6882196651080004)	('>10k+', 6.538954960174995)
7_R1	(1.0, 59.88432901069844)	(2.0, 13.014989522802958)	(3.0, 4.678789247408695)	(4.0, 2.379594558521419)	(5.0, 1.5403351220181982)	(6.0, 1.1213413860140338)	(7.0, 0.7402012937791325)	(8.0, 0.6012460048667092)	(9.0, 0.48665203684452607)	('>10', 5.2866154959487925)	('>50', 1.347697935060983)	('>100', 1.912952713315896)	('>500', 0.7185384825933281)	('>1k', 2.1112493797865484)	('>5k', 0.9604801732175325)	('>10k+', 3.2149876371228876)
7_R1_001	(1.0, 54.67830645057353)	(2.0, 12.433744917873165)	(3.0, 4.887837974633382)	(4.0, 2.746589004881648)	(5.0, 1.8681594430135304)	(6.0, 1.2808646028196047)	(7.0, 0.9873146538425078)	(8.0, 0.8169733306881891)	(9.0, 0.6708896489531985)	('>10', 6.767685239879725)	('>50', 1.854868180863856)	('>100', 2.7007614311865598)	('>500', 0.8151878100559831)	('>1k', 2.280380013705389)	('>5k', 1.4247703818772735)	('>10k+', 3.785666915152361)
7_R2	(1.0, 59.56621487678141)	(2.0, 12.815293350774734)	(3.0, 4.634415236596194)	(4.0, 2.414768432015102)	(5.0, 1.5342654157289006)	(6.0, 1.0522486703262734)	(7.0, 0.8141930714917385)	(8.0, 0.6228716333524574)	(9.0, 0.5333087738244616)	('>10', 5.3156131498360555)	('>50', 1.3668030359605767)	('>100', 1.9562999669485297)	('>500', 0.6743668754797875)	('>1k', 2.035793197224265)	('>5k', 0.9311607803031795)	('>10k+', 3.732383533356345)
7_R2_001	(1.0, 53.87951316992908)	(2.0, 12.534918990403579)	(3.0, 5.002565562406666)	(4.0, 2.7201956897583917)	(5.0, 1.902153932476912)	(6.0, 1.360780053014104)	(7.0, 1.0253015331725013)	(8.0, 0.8813100622406573)	(9.0, 0.6999670330534881)	('>10', 6.838730363659742)	('>50', 1.8050905599150409)	('>100', 2.793246362898214)	('>500', 0.7973886014008449)	('>1k', 2.2193198171363515)	('>5k', 1.3979445676836078)	('>10k+', 4.141573700850784)
8_R1	(1.0, 51.821946048177935)	(2.0, 13.52754722644156)	(3.0, 5.4673184907809205)	(4.0, 2.9000452642139796)	(5.0, 1.8966351551392604)	(6.0, 1.3507905594087086)	(7.0, 1.072768544771404)	(8.0, 0.8196054352525656)	(9.0, 0.656431685689462)	('>10', 7.035942977354505)	('>50', 1.771594713275742)	('>100', 2.5885690659572957)	('>500', 0.7412139102402472)	('>1k', 2.353697968243987)	('>5k', 1.1239415518893334)	('>10k+', 4.87195140316304)
8_R1_001	(1.0, 49.48628449382024)	(2.0, 12.661613084948442)	(3.0, 5.404486884380287)	(4.0, 2.9544961598306827)	(5.0, 2.0359798138079572)	(6.0, 1.4201582194087607)	(7.0, 1.107059521197725)	(8.0, 0.9039052180921532)	(9.0, 0.7394736640837434)	('>10', 7.686162471122493)	('>50', 1.98407629523869)	('>100', 3.0421065807067778)	('>500', 0.9111648129115629)	('>1k', 2.472413037026667)	('>5k', 1.5066017535787317)	('>10k+', 5.684017989844996)
8_R2	(1.0, 51.43332554141104)	(2.0, 13.367647371984962)	(3.0, 5.485281360782308)	(4.0, 3.023819158949261)	(5.0, 1.8844494354056753)	(6.0, 1.4383394458776524)	(7.0, 1.0494414942686252)	(8.0, 0.8372086829188075)	(9.0, 0.7603544836384372)	('>10', 6.943166853356657)	('>50', 1.7868333706453032)	('>100', 2.4981758981463225)	('>500', 0.7752346537487985)	('>1k', 2.2960932856606124)	('>5k', 0.9952193055224962)	('>10k+', 5.425409657683038)
8_R2_001	(1.0, 49.09671739082087)	(2.0, 12.7099857656105)	(3.0, 5.269693186648205)	(4.0, 3.0284122886629388)	(5.0, 2.06087210192755)	(6.0, 1.4659595705091704)	(7.0, 1.163867832990262)	(8.0, 0.8998845694990184)	(9.0, 0.7754232672323598)	('>10', 7.6710732508268205)	('>50', 2.0180268173683933)	('>100', 2.983873798636108)	('>500', 0.8471267812938043)	('>1k', 2.393554366661552)	('>5k', 1.4919917869154715)	('>10k+', 6.123537224396958)
9_R1	(1.0, 58.45401594844556)	(2.0, 13.04554709345522)	(3.0, 5.059658890132853)	(4.0, 2.6783367667233136)	(5.0, 1.738344865190612)	(6.0, 1.1647063547437557)	(7.0, 0.924108375567845)	(8.0, 0.7538855565344381)	(9.0, 0.6186479050455874)	('>10', 5.9583217513269195)	('>50', 1.4237556836378016)	('>100', 2.228059198241776)	('>500', 0.6431853740407197)	('>1k', 1.7559585193398324)	('>5k', 0.7187585152544814)	('>10k+', 2.834709202319353)
9_R1_001	(1.0, 56.122667608950884)	(2.0, 12.46407053671341)	(3.0, 4.920932065959052)	(4.0, 2.8585756069606245)	(5.0, 1.8480187320905652)	(6.0, 1.3896933063478365)	(7.0, 1.014642388059812)	(8.0, 0.876099229875712)	(9.0, 0.6834880409808851)	('>10', 6.716231353367222)	('>50', 1.7223228172952612)	('>100', 2.7566337607337688)	('>500', 0.8068691280520263)	('>1k', 1.9751985857481855)	('>5k', 0.7666293424200932)	('>10k+', 3.0779274964448424)
9_R2	(1.0, 57.79716234510457)	(2.0, 13.293558367637685)	(3.0, 4.963008230959668)	(4.0, 2.7617672626397676)	(5.0, 1.728496912742892)	(6.0, 1.2099093592761772)	(7.0, 0.9133281338479531)	(8.0, 0.6883187787160935)	(9.0, 0.6016840250332753)	('>10', 5.889211534493865)	('>50', 1.5285599841304203)	('>100', 2.2768807215804516)	('>500', 0.6425264897918948)	('>1k', 1.6821066816385102)	('>5k', 0.7337767197298749)	('>10k+', 3.2897044526768946)
9_R2_001	(1.0, 55.305779338213156)	(2.0, 12.637512230412362)	(3.0, 5.098541746577316)	(4.0, 2.8187232455976834)	(5.0, 1.8723764386939603)	(6.0, 1.359198911837495)	(7.0, 1.008851317460201)	(8.0, 0.7980448700638134)	(9.0, 0.6995595720280771)	('>10', 6.747835633538786)	('>50', 1.7932745674078063)	('>100', 2.9452369109934486)	('>500', 0.7449689020844009)	('>1k', 1.853061857375226)	('>5k', 0.8687842854447635)	('>10k+', 3.4482501722715044)
